Alignment_name	Locus_type
SISRS_contig-11910000006.fasta	unannotated
SISRS_contig-3020000004.fasta	unannotated
SISRS_contig-9828000016.fasta	unannotated
SISRS_contig-123000018.fasta	unannotated
SISRS_contig-2153000006.fasta	unannotated
SISRS_contig-5254000019.fasta	unannotated
SISRS_contig-10471000002.fasta	unannotated
SISRS_contig-13778000007.fasta	unannotated
SISRS_contig-5846000016.fasta	unannotated
SISRS_contig-2082000002.fasta	unannotated
SISRS_contig-12519000004.fasta	unannotated
SISRS_contig-11428000017.fasta	unannotated
SISRS_contig-14748000005.fasta	unannotated
SISRS_contig-13308000018.fasta	unannotated
SISRS_contig-16242000005.fasta	unannotated
SISRS_contig-7426000000.fasta	unannotated
SISRS_contig-7902000007.fasta	unannotated
SISRS_contig-13724000013.fasta	unannotated
SISRS_contig-14358000013.fasta	unannotated
SISRS_contig-6644000012.fasta	unannotated
SISRS_contig-14883000008.fasta	unannotated
SISRS_contig-14866000015.fasta	unannotated
SISRS_contig-5921000017.fasta	unannotated
SISRS_contig-1834000000.fasta	unannotated
SISRS_contig-13436000007.fasta	unannotated
SISRS_contig-12366000002.fasta	unannotated
SISRS_contig-15501000019.fasta	unannotated
SISRS_contig-17162000012.fasta	unannotated
SISRS_contig-5458000012.fasta	unannotated
SISRS_contig-9844000019.fasta	unannotated
SISRS_contig-11373000016.fasta	unannotated
SISRS_contig-6291000012.fasta	unannotated
SISRS_contig-6287000001.fasta	unannotated
SISRS_contig-2225000001.fasta	unannotated
SISRS_contig-1233000019.fasta	unannotated
SISRS_contig-12689000010.fasta	unannotated
SISRS_contig-14486000009.fasta	unannotated
SISRS_contig-15681000010.fasta	unannotated
SISRS_contig-15053000009.fasta	unannotated
SISRS_contig-13018000015.fasta	unannotated
SISRS_contig-13609000004.fasta	unannotated
SISRS_contig-10974000000.fasta	unannotated
SISRS_contig-11864000016.fasta	unannotated
SISRS_contig-3687000002.fasta	unannotated
SISRS_contig-11103000010.fasta	unannotated
SISRS_contig-15170000006.fasta	unannotated
SISRS_contig-2582000006.fasta	unannotated
SISRS_contig-12795000018.fasta	unannotated
SISRS_contig-12811000005.fasta	unannotated
SISRS_contig-14865000003.fasta	unannotated
