Alignment_name	Locus_type
SISRS_contig-443000008.fasta	UTR
SISRS_contig-591000014.fasta	UTR
SISRS_contig-17488000015.fasta	UTR
SISRS_contig-8567000002.fasta	UTR
SISRS_contig-11622000017.fasta	UTR
SISRS_contig-12981000010.fasta	UTR
SISRS_contig-7074000006.fasta	UTR
SISRS_contig-11131000013.fasta	UTR
SISRS_contig-13861000012.fasta	UTR
SISRS_contig-8885000019.fasta	UTR
SISRS_contig-13292000013.fasta	UTR
SISRS_contig-9997000014.fasta	UTR
SISRS_contig-15725000007.fasta	UTR
SISRS_contig-15358000008.fasta	UTR
SISRS_contig-11329000018.fasta	UTR
SISRS_contig-13681000000.fasta	UTR
SISRS_contig-14239000017.fasta	UTR
SISRS_contig-6951000008.fasta	UTR
SISRS_contig-11959000011.fasta	UTR
SISRS_contig-1190000008.fasta	UTR
SISRS_contig-14078000017.fasta	UTR
SISRS_contig-7946000001.fasta	UTR
SISRS_contig-6787000001.fasta	UTR
SISRS_contig-4165000000.fasta	UTR
SISRS_contig-16770000012.fasta	UTR
SISRS_contig-14537000018.fasta	UTR
SISRS_contig-12835000014.fasta	UTR
SISRS_contig-4045000009.fasta	UTR
SISRS_contig-2396000002.fasta	UTR
SISRS_contig-16403000002.fasta	UTR
SISRS_contig-7159000017.fasta	UTR
SISRS_contig-4929000014.fasta	UTR
SISRS_contig-556000003.fasta	UTR
SISRS_contig-2028000010.fasta	UTR
SISRS_contig-7673000017.fasta	UTR
SISRS_contig-8756000018.fasta	UTR
SISRS_contig-10271000019.fasta	UTR
SISRS_contig-7671000003.fasta	UTR
SISRS_contig-5335000017.fasta	UTR
SISRS_contig-12748000016.fasta	UTR
SISRS_contig-16667000005.fasta	UTR
SISRS_contig-12948000005.fasta	UTR
SISRS_contig-12496000007.fasta	UTR
SISRS_contig-548000008.fasta	UTR
SISRS_contig-2899000003.fasta	UTR
SISRS_contig-12002000014.fasta	UTR
SISRS_contig-3566000011.fasta	UTR
SISRS_contig-4296000010.fasta	UTR
SISRS_contig-16581000003.fasta	UTR
SISRS_contig-14666000015.fasta	UTR
SISRS_contig-7866000012.fasta	UTR
SISRS_contig-15631000006.fasta	UTR
SISRS_contig-7589000006.fasta	UTR
SISRS_contig-3420000018.fasta	UTR
SISRS_contig-5864000006.fasta	UTR
SISRS_contig-4690000002.fasta	UTR
SISRS_contig-14647000004.fasta	UTR
SISRS_contig-15626000012.fasta	UTR
SISRS_contig-4516000018.fasta	UTR
SISRS_contig-3285000018.fasta	UTR
SISRS_contig-10216000010.fasta	UTR
SISRS_contig-14130000013.fasta	UTR
SISRS_contig-1174000003.fasta	UTR
SISRS_contig-14194000011.fasta	UTR
SISRS_contig-13645000019.fasta	UTR
SISRS_contig-17338000017.fasta	UTR
SISRS_contig-10157000009.fasta	UTR
SISRS_contig-10192000016.fasta	UTR
SISRS_contig-1898000001.fasta	UTR
SISRS_contig-775000017.fasta	UTR
SISRS_contig-12227000011.fasta	UTR
SISRS_contig-13490000018.fasta	UTR
SISRS_contig-9371000003.fasta	UTR
SISRS_contig-5952000019.fasta	UTR
SISRS_contig-16852000011.fasta	UTR
SISRS_contig-6896000005.fasta	UTR
SISRS_contig-4585000015.fasta	UTR
SISRS_contig-11632000012.fasta	UTR
SISRS_contig-13296000015.fasta	UTR
SISRS_contig-8769000003.fasta	UTR
SISRS_contig-5291000019.fasta	UTR
SISRS_contig-874000000.fasta	UTR
SISRS_contig-1155000009.fasta	UTR
SISRS_contig-11086000012.fasta	UTR
SISRS_contig-1321000008.fasta	UTR
SISRS_contig-4073000011.fasta	UTR
SISRS_contig-11219000009.fasta	UTR
SISRS_contig-13578000018.fasta	UTR
SISRS_contig-523000013.fasta	UTR
